,itemTypeDisplayName,displayProperties.name,defaultDamageTypeHash,equippingBlock.equipmentSlotTypeHash,equippingBlock.ammoType,sockets.socketEntries.0.singleInitialItemHash,sockets.socketEntries.1.randomizedPlugSetHash,sockets.socketEntries.2.randomizedPlugSetHash,sockets.socketEntries.3.randomizedPlugSetHash,sockets.socketEntries.4.randomizedPlugSetHash
-1907987297,Scout Rifle,The Scholar (Adept),Kinetic,Kinetic,Primary,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Underdog', 'Opening Shot', 'Full Auto Trigger System', 'Slideways', 'Quickdraw']","['No Distractions', 'Vorpal Weapon', 'Elemental Capacitor', 'Snapshot Sights', 'Celerity']"
-1886561835,Pulse Rifle,Sacred Provenance,Kinetic,Kinetic,Primary,Aggressive Burst,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Rangefinder', 'Full Auto Trigger System', 'Rapid Hit', 'Outlaw']","['Headseeker', 'Kill Clip', 'Snapshot Sights', 'Quickdraw']"
-1880825834,Sidearm,The Vision,Arc,Energy,Primary,Omolon Adaptive Frame,"['QuickDot SAS', 'Control SAS', 'Shortspec SAS', 'Tactic SAS', 'Target SAS', 'FarPoint SAS']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Grave Robber', 'Surplus', 'Ambitious Assassin', 'Underdog', 'Full Auto Trigger System', 'Killing Wind']","['Kill Clip', 'One for All', 'Swashbuckler', 'Disruption Break', 'Sympathetic Arsenal', 'Elemental Capacitor']"
-1860741310,Machine Gun,Shattered Cipher,Void,Power,Heavy,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Tunnel Vision', 'Heating Up', 'Field Prep', 'Under Pressure', 'Slideways', 'Auto-Loading Holster']","['Unrelenting', 'Snapshot Sights', 'Surrounded', 'Zen Moment', 'Rampage', 'Adrenaline Junkie']"
-1846060210,Rocket Launcher,Royal Entry,Void,Power,Heavy,Precision Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']","['Underdog', 'Rangefinder', 'Field Prep', 'Threat Detector', 'Auto-Loading Holster', 'Quickdraw', 'Impulse Amplifier', 'Genesis', 'Moving Target']","['One for All', 'Wellspring', 'Thresh', 'Unrelenting', 'Chain Reaction', 'Ambitious Assassin', 'Demolitionist', 'Lasting Impression', 'Cluster Bomb', 'Clown Cartridge']"
-1841610254,Grenade Launcher,Blast Battue,Arc,Power,Heavy,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Proximity Grenades', 'Spike Grenades', 'Alloy Casing', 'Augmented Drum', 'High-Explosive Ordnance', 'High-Velocity Rounds', 'Mini Frags', 'Sticky Grenades']","['Clown Cartridge', 'Killing Wind', 'Pulse Monitor', 'Threat Detector', 'Moving Target', 'Quickdraw']","['Rampage', 'Disruption Break', 'Snapshot Sights', 'Chain Reaction', 'Auto-Loading Holster', 'Wellspring']"
-1816175055,Scout Rifle,The Scholar,Kinetic,Kinetic,Primary,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Underdog', 'Opening Shot', 'Full Auto Trigger System', 'Slideways', 'Quickdraw']","['No Distractions', 'Vorpal Weapon', 'Elemental Capacitor', 'Snapshot Sights', 'Celerity']"
-1813086003,Fusion Rifle,Cartesian Coordinate,Solar,Energy,Special,Rapid-Fire Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot 2 MOA', 'Red Dot Micro']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Under Pressure', 'Feeding Frenzy', 'Slideways', 'Lead from Gold', 'Grave Robber', 'Hip-Fire Grip']","['Swashbuckler', 'Thresh', 'Vorpal Weapon', 'Snapshot Sights', 'High-Impact Reserves', 'Backup Plan']"
-1802885827,Auto Rifle,The Number,Arc,Energy,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Under Pressure', 'Threat Detector', 'Underdog', 'Field Prep', 'Surplus', 'Killing Wind']","['High-Impact Reserves', 'Sympathetic Arsenal', 'Unrelenting', 'Wellspring', 'One for All', 'Multikill Clip']"
-1798725244,Rocket Launcher,Code Duello,Solar,Power,Heavy,High-Impact Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']","['Impulse Amplifier', 'Quickdraw', 'Field Prep', 'Surplus', 'Auto-Loading Holster']","['Chain Reaction', 'Lasting Impression', 'Unrelenting', 'Cluster Bomb', 'Frenzy', 'Ambitious Assassin']"
-1767300990,Hand Cannon,Igneous Hammer (Adept),Solar,Energy,Primary,Aggressive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Quickdraw', 'Killing Wind', 'Outlaw', 'Rapid Hit', 'Subsistence']","['Celerity', 'Rampage', 'One for All', 'Snapshot Sights', 'Moving Target', 'Celerity']"
-1749883426,Rocket Launcher,Apex Predator,Solar,Power,Heavy,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']","['Tracking Module', 'Genesis', 'Ambitious Assassin']","['Kill Clip', 'Auto-Loading Holster', 'Snapshot Sights']"
-1712211952,Machine Gun,Seventh Seraph SAW,Arc,Power,Heavy,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Grave Robber', 'Zen Moment', 'Clown Cartridge', 'Auto-Loading Holster', 'Field Prep']","['Vorpal Weapon', 'Opening Shot', 'Mulligan', 'Disruption Break', 'Firing Line', 'Elemental Capacitor']"
-1661780774,Auto Rifle,Shadow Price,Arc,Energy,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Bottomless Grief', 'Surplus', 'Killing Wind', ""Fourth Time's the Charm"", 'Feeding Frenzy', 'Overflow', 'Bottomless Grief']","['One for All', 'Disruption Break', 'Thresh', 'Swashbuckler', 'Unrelenting', 'Dragonfly']"
-1580945089,Linear Fusion Rifle,Corsair's Wrath,Solar,Power,Heavy,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Firmly Planted', 'Killing Wind', 'Pulse Monitor', 'Moving Target', 'No Distractions', 'Outlaw']","['Quickdraw', 'Unrelenting', 'Demolitionist', 'Thresh', 'Kill Clip', 'High-Impact Reserves']"
-1573717833,Combat Bow,Tyranny of Heaven,Solar,Energy,Primary,Lightweight Frame,"['Agile Bowstring', 'Tactile String', 'Elastic String', 'Flexible String', 'High Tension String', 'Natural String', 'Polymer String']","['Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Helical Fletching', 'Natural Fletching', 'Straight Fletching']","['Sneak Bow', 'Moving Target', ""Archer's Tempo""]","['Rampage', 'Explosive Head', 'Snapshot Sights']"
-1552476687,Submachine Gun,Death Adder,Solar,Energy,Primary,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Hip-Fire Grip', 'Feeding Frenzy', 'Mulligan', 'Auto-Loading Holster', 'Dynamic Sway Reduction', 'Subsistence']","['Dragonfly', 'Disruption Break', 'Eye of the Storm', 'Rangefinder', 'Moving Target', 'Quickdraw']"
-1552128596,Hand Cannon,True Prophecy,Kinetic,Kinetic,Primary,Aggressive Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Rangefinder', 'Field Prep', 'Grave Robber', 'Opening Shot', 'Overflow']","['Timed Payload', 'Explosive Payload', 'Rampage', 'Demolitionist', 'Elemental Capacitor']"
-1552128595,Hand Cannon,Dire Promise,Kinetic,Kinetic,Primary,Adaptive Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Triple Tap', 'Opening Shot', 'Auto-Loading Holster', 'Snapshot Sights', 'Overflow']","['Swashbuckler', 'Rangefinder', 'Under Pressure', 'Osmosis', 'Elemental Capacitor']"
-1518464224,Scout Rifle,Royal Chase,Void,Energy,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Full Auto Trigger System', 'No Distractions', 'Field Prep', 'Grave Robber', 'Auto-Loading Holster', 'Slideways']","['Multikill Clip', 'Dragonfly', 'Thresh', 'Quickdraw', 'Threat Detector']"
-1512641996,Sword,Quickfang,Void,Power,Heavy,Lightweight Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']",['Static'],"['Tireless Blade', 'Relentless Strikes', 'Energy Transfer', 'Thresh']","[""Assassin's Blade"", 'En Garde', 'Flash Counter', 'One for All']"
-1512641995,Sword,Eternity's Edge,Solar,Power,Heavy,Vortex Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']",['Static'],"['Thresh', 'Tireless Blade', 'Energy Transfer', 'Relentless Strikes']","['Counterattack', 'Flash Counter', 'Surrounded', ""Assassin's Blade""]"
-1512641994,Sword,Crown-Splitter,Void,Power,Heavy,Aggressive Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']",['Static'],"['Relentless Strikes', 'Tireless Blade', 'Flash Counter', 'Thresh']","['Vorpal Weapon', 'Whirlwind Blade', 'Surrounded', 'Counterattack']"
-1512120117,Shotgun,Blasphemer,Kinetic,Kinetic,Special,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Quickdraw', 'Dual Loader', 'Hip-Fire Grip', 'Threat Detector', ""Fourth Time's the Charm"", 'Surplus']","['Rampage', 'Swashbuckler', 'Opening Shot', 'Osmosis', 'Moving Target', 'Thresh']"
-1487280140,Sniper Rifle,Distant Tumulus,Solar,Energy,Special,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Pulse Monitor', 'Genesis', 'Clown Cartridge', 'Lead from Gold', 'Dragonfly']","['Opening Shot', 'Quickdraw', 'Snapshot Sights', 'Outlaw', 'Firing Line']"
-1437618425,Sword,Honor's Edge,Arc,Power,Heavy,Adaptive Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']","['Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard""]","['Tireless Blade', 'Relentless Strikes', 'Energy Transfer']","['Flash Counter', 'Shattering Blade', 'En Garde', 'Surrounded', 'Counterattack']"
-1424797450,Pulse Rifle,Hailing Confusion,Kinetic,Kinetic,Primary,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Outlaw', 'Slideways', 'Firmly Planted', 'Pulse Monitor', 'Surplus', 'Zen Moment']","['Elemental Capacitor', 'Unrelenting', 'Full Auto Trigger System', 'Demolitionist', 'Wellspring', 'Quickdraw']"
-1403295126,Shotgun,Xenoclast IV,Arc,Energy,Special,Lightweight Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Lead from Gold', 'Slideways', 'Grave Robber', 'Pulse Monitor', 'Underdog', 'Dual Loader', 'Surplus', 'Slideshot', 'Hip-Fire Grip', 'Genesis', 'Field Prep', 'Auto-Loading Holster']","['Unrelenting', 'Demolitionist', 'One-Two Punch', 'Rampage', 'Trench Barrel', 'Thresh', 'Killing Wind', 'Vorpal Weapon', 'Surrounded', 'Swashbuckler', 'Eye of the Storm', 'Disruption Break']"
-1337599553,Shotgun,Toil and Trouble,Kinetic,Kinetic,Special,Aggressive Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Slideshot', 'Threat Detector', 'Field Prep', 'Full Auto Trigger System', 'Pulse Monitor']","['Rampage', 'Outlaw', 'Snapshot Sights', 'Moving Target', 'Auto-Loading Holster']"
-1304920254,Sniper Rifle,Succession,Kinetic,Kinetic,Special,Aggressive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine']","['Moving Target', 'Killing Wind', 'No Distractions', 'Slideways', 'Lead from Gold', 'Reconstruction']","['Snapshot Sights', 'Osmosis', 'Thresh', 'Recombination', 'Vorpal Weapon', 'Rampage']"
-1257446888,Hand Cannon,Seventh Seraph Officer Revolver,Kinetic,Kinetic,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Firmly Planted', 'Pulse Monitor', 'Underdog', 'Ambitious Assassin', ""Fourth Time's the Charm"", 'Threat Detector']","['Feeding Frenzy', 'Vorpal Weapon', 'Osmosis', 'Timed Payload', 'High-Impact Reserves', 'Multikill Clip']"
-1239774781,Fusion Rifle,Timelines' Vertex,Solar,Energy,Special,Adaptive Frame,"['Signal MS5', 'Impulse MS3', 'Transmission MS7', 'Candle PS', 'Spark PS', 'Jolt PS', 'Flash HS5', 'Torch HS3']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Firmly Planted', 'Lead from Gold', 'Shield Disorient', 'Field Prep', 'Auto-Loading Holster']","['Snapshot Sights', 'Backup Plan', 'Elemental Capacitor', 'Disruption Break', 'Demolitionist']"
-1227146096,Rocket Launcher,Heretic,Arc,Power,Heavy,Aggressive Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']","['Ambitious Assassin', 'Field Prep', 'Genesis', 'Rangefinder', 'Impulse Amplifier', 'Surplus']","['Lasting Impression', 'Cluster Bomb', 'Demolitionist', 'Disruption Break', 'Quickdraw', 'Thresh']"
-1219742745,Linear Fusion Rifle,Threaded Needle,Void,Power,Heavy,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Killing Wind', 'Clown Cartridge', 'Rapid Hit', 'Auto-Loading Holster', 'Rangefinder', 'Field Prep']","['Demolitionist', 'Thresh', 'Dragonfly', 'Multikill Clip', 'Vorpal Weapon', 'Frenzy']"
-1205549508,Submachine Gun,MIDA Mini-Tool,Solar,Energy,Primary,MIDA Synergy,['Static'],['Static'],['Static'],['Static']
-1151234864,Auto Rifle,False Promises,Kinetic,Kinetic,Primary,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Underdog', 'Threat Detector', 'Overflow', 'Killing Wind', 'Dynamic Sway Reduction', 'Feeding Frenzy', 'Subsistence']","['Sympathetic Arsenal', 'Surrounded', 'Swashbuckler', 'Unrelenting', 'Zen Moment', 'Eye of the Storm', 'Rampage']"
