,hash,displayProperties.name
-1743809578,2551157718,Box Breathing
-1730803102,2564164194,Compounding Force
-1719925148,2575042148,Invader +1
-1715805059,2579162237,Wind Chill
-1711462617,2583504679,Tesla's Revenge
-1704602007,2590365289,Together Forever
-1704257203,2590710093,Tireless Blade
-1698495426,2596471870,Friendly Competition
-1698495425,2596471871,Friendly Competition
-1696300995,2598666301,All In
-1695441160,2599526136,Catacombs
-1690566668,2604400628,Heavy Warlock Armor
-1686459149,2608508147,Heavy Slug Thrower
-1676432930,2618534366,Absorption Cells
-1674378022,2620589274,The Fundamentals
-1660456075,2634511221,Vostok
-1659435123,2635532173,Accurized Rounds
-1657941620,2637025676,The Whispers
-1631695187,2663272109,Relentless Tracker
-1631695186,2663272110,Hawkeye Hack
-1631695185,2663272111,Upgraded Sensor Pack
-1621563629,2673403667,The Future is Chrome
-1615718203,2679249093,One-Two Punch
-1614845357,2680121939,Enhanced Battery
-1610612176,2684355120,Sentry +3
-1604796467,2690170829,Never Through
-1580262200,2714705096,Dirty Work
-1579316351,2715650945,Shot Through the Heart
-1575929594,2719037702,Outwit
-1574434007,2720533289,Magnificent Howl
-1568495426,2726471870,Thresh
-1563065587,2731901709,Warlord's Sigil
-1563065586,2731901710,Vampire's Caress
-1563065585,2731901711,Helium Spirals
-1562053720,2732913576,Red Dot-OAS
-1562053718,2732913578,Red Dot-ORS
-1562053717,2732913579,Red Dot-ORS1
-1552992228,2741975068,Slug Rifle
-1550772294,2744195002,Third Rail
-1542860309,2752106987,Author of Devastation
-1537281982,2757685314,Aggressive Frame
-1534488338,2760478958,Book of the Dead
-1524743714,2770223582,Fan Fire
-1519724844,2775242452,The Devil's Work
-1515932278,2779035018,Feeding Frenzy
-1512510008,2782457288,Killing Tally
-1506057603,2788909693,Boss Spec
-1495548722,2799418574,Rites of Ember
-1493744087,2801223209,Elastic String
-1493655854,2801311442,Riptide
-1489832765,2805134531,Nightmare Fuel
-1489238539,2805728757,Insomnia
-1482020432,2812946864,At Any Cost
-1479994229,2814973067,Markov Chain
-1476826946,2818140350,Dynamic Duo
-1472824950,2822142346,High-Velocity Rounds
-1471885337,2823081959,Heavy Titan Armor
-1467917805,2827049491,Honed Edge
-1448581526,2846385770,Rangefinder
-1446352125,2848615171,Dragonfly
-1440478428,2854488868,Loaded Dice
-1428169149,2866798147,No Distractions
-1425398201,2869569095,Field Prep
-1424871897,2870095399,Thermoplastic Grenades
-1420683082,2874284214,Aggressive Burst
-1417082894,2877884402,
-1406410186,2888557110,Full Court
-1404068833,2890898463,Base Battery
-1385564121,2909403175,Mortal Polarity
-1383638293,2911329003,Grenades and Horseshoes
-1382132551,2912834745,The Emperor's Pleasure
-1373876542,2921090754,Soul Devourer
-1358708847,2936258449,Restorative Titan Armor
-1358337526,2936629770,Salt the Fields
-1355358112,2939609184,For Wei
-1351188587,2943778709,Cleans Up Good
-1348182330,2946784966,Tunnel Vision
-1345302607,2949664689,Gray Nitrite
-1343467754,2951499542,Beacons of Empowerment
-1343037207,2951930089,Mobile Warlock Armor
-1325782270,2969185026,Projection Fuse
-1317258218,2977709078,Excavation
-1315240869,2979726427,Kintsugi
-1312621052,2982346244,Chasing Kitsune
-1309140280,2985827016,Alloy Casing
-1304799464,2990167832,Calus's Promise
-1294855721,3000111575,Qingming Offering
-1291511089,3003456207,Restorative Warlock Armor
-1285877085,3009090211,The Panama Ravine
-1277979945,3016987351,Counterattack
-1276594005,3018373291,Adept Big Ones Spec
-1274774786,3020192510,Powerful Statement
-1262368051,3032599245,Blinding Grenades
-1260350255,3034617041,Jade Countenance
-1256719323,3038247973,Explosive Payload
-1256078743,3038888553,Matterscourge
-1250806830,3044160466,Triumphant
-1247165776,3047801520,Collector +3
-1246997603,3047969693,Desperado
-1240017972,3054949324,Shot Package
-1231646380,3063320916,Primeval's Torment
-1223792564,3071174732,Machinist's Trove
-1213793948,3081173348,The Fundamentals
-1213099672,3081867624,Master of Arms
-1201480717,3093486579,Sky/Perdition
-1198265269,3096702027,Genesis
-1194377144,3100590152,MIDA Radar
-1191579997,3103387299,Dark Waters
-1186137021,3108830275,Unrelenting
-1177453124,3117514172,Stormbringer
-1173440344,3121526952,Last Wish Armor
-1170096296,3124871000,Outlaw
-1152677585,3142289711,Accurized Rounds
-1143706838,3151260458,Caution: Heavy Machinery
-1143430796,3151536500,SPO-28 Front
-1143430795,3151536501,SPO-57 Front
-1143430793,3151536503,SPO-26 Front
-1138146677,3156820619,Heavy Hunter Armor
-1133150708,3161816588,Slideshot
-1124521996,3170445300,Feeling Lucky
-1124521995,3170445301,On Ashen Wings
-1123317443,3171649853,Go About Your Business
-1120666485,3174300811,Looks Can Kill
-1117658936,3177308360,Steady Rounds
-1105715794,3189251502,Fistfuls of Bullets
-1100616269,3194351027,Explosive Light
-1098724636,3196242660,Base Frame
-1095526306,3199440990,Rock-a-Bye
-1093471066,3201496230,Redirection
-1089535807,3205431489,Homesteader
-1086319793,3208647503,Adept Impact
-1086127335,3208839961,Four-Headed Dog
-1077081327,3217885969,Unknown
-1066355910,3228611386,Targeting Adjuster
-1064003753,3230963543,Flared Magwell
-1055667828,3239299468,Sacred Flame
-1053772356,3241194940,Jump Jets
-1053772355,3241194941,Mecha Holster
-1053772354,3241194942,Linear Actuators
-1052433342,3242533954,Parasitism
-1044932743,3250034553,Hammer-Forged Rifling
-1032757940,3262209356,Restorative Warlock Armor
-1019178207,3275789089,Shield Disorient
-999170632,3295796664,Move to Survive
-996520816,3298446480,Causality Arrows
-994151068,3300816228,Auto-Loading Holster
-993063207,3301904089,Spike Grenades
-982990103,3311977193,Helical Fletching
-975580332,3319386964,Belvedere
-968762433,3326204863,Smooth Grip
-964418372,3330548924,Aggressive Burst
-960973132,3333994164,Dark Descent
-958319076,3336648220,Backup Mag
-957274947,3337692349,Mulligan
-950105954,3344861342,Brumal Dawn
-946988624,3347978672,Alchemical Etchings
-946988623,3347978673,Strange Protractor
-944549408,3350417888,Sympathetic Arsenal
-943964793,3351002503,Bottomless Appetite
-930478306,3364488990,Mobile Warlock Armor
-930055584,3364911712,VEIST Rapid-Fire
-929840212,3365127084,Sand and Sun
-929070163,3365897133,Explosive Head
-923192285,3371775011,High Tension String
-921609670,3373357626,Prism
-921609669,3373357627,Eye of Osiris
-921231004,3373736292,Sticky Grenades
-900834839,3394132457,Over and Done With
-894182568,3400784728,Triple Tap
-890018435,3404948861,Heavy Titan Armor
-880642653,3414324643,Archer's Gambit
-876184678,3418782618,Rewind Rounds
-875692331,3419274965,Precision Frame
-869580370,3425386926,Rampage
-868366555,3426600741,Wishes of Sorrow
-865166868,3429800428,Fiberglass Arrow Shaft
-862795839,3432171457,Heretic Robe
-861571270,3433396026,Meyrin RDS
-861571269,3433396027,Meyrin RDL
-860686604,3434280692,Sub-Zero
-858504863,3436462433,Surplus
-858051372,3436915924,Lupus Visage
-856452866,3438514430,Peacebringer
-856432675,3438534621,Combat Grip
-845965298,3449001998,Spheromatik Trigger
-845778490,3449188806,Long Live the Queen
-845576426,3449390870,Adaptive Frame
-836412436,3458554860,Pride of Omolon
-829768829,3465198467,Composite Stock
-826877402,3468089894,Aggressive Frame
-824139054,3470828242,Flame Refraction
-821569996,3473397300,King in All Directions
-820352452,3474614844,Iridescent Death
-802571086,3492396210,Implosion Rounds
-790769345,3504197951,Unforeseen Repercussions
-787255652,3507711644,
-783875242,3511092054,Elemental Capacitor
-781175597,3513791699,Mulligan
-774415024,3520552272,Summer Storm
-771670879,3523296417,Demolitionist
-769956486,3525010810,Quick Launch
-763969546,3530997750,Plasteel Reinforcement Mod
-747340988,3547626308,Death Comes Calling
-745413496,3549553800,Deletion Protocol
-743766925,3551200371,Heavy Hunter Armor
-743641060,3551326236,Rampage
-738238806,3556728490,Dread from Below
-738018261,3556949035,Time-Slip
-732447243,3562520053,They Had Built
-731218094,3563749202,Heavy Warlock Armor
-706578143,3588389153,Invader +2
-704073296,3590894000,Mobile Titan Armor
-702428558,3592538738,Wellspring
-696463775,3598503521,Base Magazine
-684217088,3610750208,Timeless Mythoclast
-684153015,3610814281,Volatile Light
-678990431,3615976865,Frostborne
-669612204,3625355092,Burst Guard
-666104724,3628862572,Comstock Lode
-652475959,3642491337,Tesseract
-651542552,3643424744,Overflow
-645536954,3649430342,Twintails
-633580228,3661387068,Chambered Compensator
-632501390,3662465906,Dreaded Visage
-632501389,3662465907,Transfusion Matrix
-631871036,3663096260,Skittering Stinger
-628854824,3666112472,Scissor Fingers
-628758948,3666208348,Jagged Edge
-626185260,3668782036,The Fate of All Fools
-621418544,3673548752,Regal Deterrent
-608882438,3686084858,Quark Star
-608700590,3686266706,Heavy Hunter Armor
-597474926,3697492370,Ahead of Its Time
-586740095,3708227201,Surrounded
-581127302,3713839994,Micro-Missile
-579078681,3715888615,Mobile Warlock Armor
-573340021,3721627275,Swap Mag
-572313784,3722653512,Air Assault
-571435463,3723531833,Burning Souls
-566233340,3728733956,Void Damage Mod
-562344457,3732622839,Burst Guard
-543613180,3751354116,Shock Blast
-541318800,3753648496,Conscripted
-539897179,3755070117,Payday
-538802861,3756164435,Binary Function
-531747163,3763220133,Barren Wastes
-526528924,3768438372,Agile Bowstring
-526422236,3768545060,Heavy Titan Armor
-522482101,3772485195,Heat Sink
-517137939,3777829357,Aeon Energy
-515344285,3779623011,Lethal System
-509306207,3785661089,Radar Booster
-505782392,3789184904,Adept Icarus Grip
-498501701,3796465595,Impact Casing
-496114444,3798852852,Smart Drift Control
-494213935,3800753361,Mobile Warlock Armor
-492225046,3802742250,Pale Rider
-487158675,3807808621,Digital Ops
-485650951,3809316345,Countermass
-470861669,3824105627,Firefly
-470345281,3824622015,Grasp of the Devourer
-467769261,3827198035,Straight Fletching
-457890050,3837077246,Rewind Again
-456561177,3838406119,Mobile Hunter Armor
-456126245,3838841051,Ultraviolet
-450864754,3844102542,Father of Islands
-450418180,3844549116,Vigil for Saint-14
-439192578,3855774718,Roar of the Wyrm
-429709320,3865257976,Dragonfly
-426200530,3868766766,Particle Repeater
-423083153,3871884143,Disruption Break
-410840054,3884127242,Dornröschen
-409817523,3885149773,Table Scraps
-402086571,3892880725,Credence
-394800860,3900166436,Binary System
-389423405,3905543891,Black Hole
-387667422,3907299874,New Tricks
-381503787,3913463509,Insectoid Robot Grenades
-381367166,3913600130,Whirlwind Blade
-377516582,3917450714,Textured Grip
-375919804,3919047492,Meteor Shower
-374114608,3920852688,Rapid-Fire Frame
-371328352,3923638944,Double Fire
-369957524,3925009772,Black Plague
-369771485,3925195811,Uniocracy
-367244354,3927722942,Lasting Impression
-367004196,3927963100,Cerebral Uplink
-367004195,3927963101,Abyssal Extractors
-367004194,3927963102,Actual Grandeur
-367004193,3927963103,Conduction Tines
-357654392,3937312904,On Black Wings
-327673265,3967294031,"Unloved, to Be Cherished"
-324330265,3970637031,Harbinger's Pulse
-317505746,3977461550,Tangled Outrider
-317232054,3977735242,Tracking Module
-315550074,3979417222,Mobile Titan Armor
-311510269,3983457027,Aggressive Frame
-303285988,3991681308,Cyberoptics
-300569437,3994397859,Arc Damage Mod
-295440077,3999527219,Remote Detonation
-291702870,4003264426,Adept Stability
-290022896,4004944400,String of Curses
-282004770,4012962526,Dual Speed Receiver
-279260940,4015706356,Mobile Titan Armor
-277643844,4017323452,"Broken Bird, to Be Healed"
-270796369,4024170927,Misdirection
-249127805,4045839491,Sunburn
-246577432,4048389864,Feast of Light
-245335453,4049631843,One for All
-234084840,4060882456,Rubicund Wrap (Ornament)
-234084839,4060882457,Snakeskin Wrap (Ornament)
-234084838,4060882458,Balistraria Wrap (Ornament)
-227132439,4067834857,Flexible String
-223803425,4071163871,Threat Detector
-222298825,4072668471,Crow's Wings
-220445410,4074521886,Worldshaper
-212741428,4082225868,Swashbuckler
-211424041,4083543255,Precision Frame
-204315848,4090651448,Corkscrew Rifling
-203966739,4091000557,Minor Spec
-192066594,4102900702,Touch of Venom
-190781604,4104185692,Frenzy
-179860177,4115107119,Packmaster's Command
-179330275,4115637021,Sun Blast
-170750812,4124216484,Prized Ivory
-168861514,4126105782,Arc Damage Mod
-164472228,4130495068,Precision Frame
-161358687,4133608609,General Relativity
-160613517,4134353779,Drop Mag
-148237949,4146729347,Last Stand
-146809067,4148158229,Reign Havoc
-144544218,4150423078,Unwelcome Visit
-142257518,4152709778,Iron Gaze
-135522200,4159445096,A Better Specimen
-134419731,4160547565,Kinetic Damage Mod
-131739926,4163227370,Mobile Hunter Armor
-128771698,4166195598,Tyrant's Lash
-122699386,4172267910,Adaptive Frame
-120473571,4174493725,Insatiable
-109627440,4185339856,Revolution
-104432059,4190535237,Ursine Guard
-104323823,4190643473,Breakthrough
-96591715,4198375581,Survivalist Hunter Armor
-87488976,4207478320,Weapon Attack Mod
-86549186,4208418110,The Corruption Spreads
-68924379,4226042917,Coordinated Offensive
-68924378,4226042918,Smith's Touchmark
-68924377,4226042919,Inferno Heraldry
-63242557,4231724739,Atropos
-61828603,4233138693,Base Launch Tube
-59844915,4235122381,Glorious Charge
-58272492,4236694804,Under Construction
-43592069,4251375227,Mobius Conduit
-42806502,4252160794,Sneak Attack
-42057716,4252909580,Bottomless Grief
-36639557,4258327739,The Old Ways
-36467106,4258500190,Sentry +1
-35565988,4259401308,Fitted Stock
-34047772,4260919524,Mark 15 Lens
-34047771,4260919525,Mark 10 Glass
-27022256,4267945040,Full Auto Trigger System
-16006578,4278960718,Adept Handling
-14384992,4280582304,Coup de Main
-6405260,4288562036,Heaven's Vigil
-2826418,4292140878,End of Days
8507332,8507332,Chaotic Exchanger
11551321,11551321,Iron Grip
11612903,11612903,Adrenaline Junkie
12695374,12695374,Aurelian Decree
12695375,12695375,Beast Magic
13792278,13792278,Hitmark IS
13792279,13792279,Cleanshot IS
16392701,16392701,Compact Arrow Shaft
20859173,20859173,Symbiosis
24925370,24925370,Gift of the Traveler
25606670,25606670,Dual Loader
25692695,25692695,The Scientific Method
31057037,31057037,Omolon Adaptive Frame
31555988,31555988,Dual Speed Receiver
47981717,47981717,Opening Shot
52189603,52189603,Bad Dog
52780822,52780822,Balanced Guard
68113745,68113745,Base Magazine
77772312,77772312,"Alone, to Be Joined"
87986588,87986588,GB Iron
87986589,87986589,GA Post
95528736,95528736,Onslaught
104934846,104934846,Frozen In Time
106909392,106909392,Tactical Mag
116193775,116193775,Ashen Icon
116918307,116918307,Glee Barrage
117884138,117884138,Adept Accuracy
127335543,127335543,Dynamic Charge
135999390,135999390,Past Is Past
136456835,136456835,Reversal of Fortune
144338558,144338558,Empty Mod Socket
149961592,149961592,Reaper +3
171163996,171163996,Bloodline Memorial
176919422,176919422,For the Empire
183772609,183772609,Caster Frame
185041502,185041502,Volatile Battery
185514250,185514250,Glacial Guard
193028652,193028652,Disruptive Camouflage
194952921,194952921,Transmission MS7
194952922,194952922,Impulse MS3
194952923,194952923,Signal MS5
200829441,200829441,Lightning Rod
201365942,201365942,Archer's Tempo
202670084,202670084,Full Bore
204713420,204713420,Devil's Advocate
205890336,205890336,Underdog
213689231,213689231,Paracausal Shot
216781713,216781713,Häkke Precision Frame
229003538,229003538,Adept Blast Radius
235075862,235075862,Peregrine Strike
236605015,236605015,Vanishing Execution
242794439,242794439,Reflective Vents
247725512,247725512,Rapid Hit
263649945,263649945,Vortex Frame
265542500,265542500,Chain Bowstring
269320354,269320354,Blind Fury
269888150,269888150,Swordmaster's Guard
270846462,270846462,Restorative Warlock Armor
280464955,280464955,Firmly Planted
281315705,281315705,White Nail
287295296,287295296,Tertiary Objective
290014589,290014589,Revved Consumption
299264772,299264772,Adept Range
299272945,299272945,Release the Wolves
299539105,299539105,Violent Exorcism
302488496,302488496,Spirit of Competition
306579422,306579422,Garden of Salvation Armor
314669087,314669087,The Untold Tale
320534106,320534106,Cosmology
323879921,323879921,
326979294,326979294,Collector +1
332133599,332133599,Mini Frags
332773068,332773068,Volatile Launch
334466122,334466122,Close the Gap
341869371,341869371,Tyrant's Cudgel
343223696,343223696,Voracious
344032858,344032858,Solar Damage Mod
346961818,346961818,IKELOS Field Tuning
354401740,354401740,Assassin's Blade
360593481,360593481,SRO-52 Ocular
360593482,360593482,SRO-41 Ocular
360593483,360593483,SRO-37 Ocular
371216963,371216963,Radar Tuner
372430833,372430833,Shock Blast
377257911,377257911,MIDA Multi-Tool
384759954,384759954,Bring the Heat
384759955,384759955,Burning Fists
384923539,384923539,Abyssal Scream
389268985,389268985,Arc Traps
396425346,396425346,Lethe's Mercy
403561732,403561732,"Defenseless, to Be Armed"
407549716,407549716,Broadside
409831596,409831596,Proximity Grenades
411799453,411799453,Dark Deliverance
425960662,425960662,Delayed Gratification
432606867,432606867,Black Death
436053704,436053704,Hungry Edge
439277955,439277955,Eyes Forward
440770966,440770966,Shifting Loyalties
445755704,445755704,Tactic SAS
445755705,445755705,Shortspec SAS
445755706,445755706,Control SAS
445755707,445755707,QuickDot SAS
445755710,445755710,FarPoint SAS
445755711,445755711,Target SAS
446122123,446122123,Reaper +2
451772823,451772823,Foretelling
459441288,459441288,Harmonic Laser
460017080,460017080,Headseeker
466087222,466087222,Smoothbore
469285294,469285294,Recombination
474269988,474269988,Lightweight Frame
476682455,476682455,One Terrible Scream
476961531,476961531,Base Grip
481338655,481338655,Shrapnel Launcher
481860148,481860148,
481860150,481860150,Wish-Dragon Teeth
481860151,481860151,Spring-Loaded Mounting
501717180,501717180,Ionic Return
507151084,507151084,Accomplice
518387148,518387148,Sprint Grip
519687404,519687404,What If
536311848,536311848,Aeon Energy
536517534,536517534,Compression Chamber
548249507,548249507,Sentry +2
553093017,553093017,Beyond The Veil
554078784,554078784,Zoom 30 Focus
554078785,554078785,Zoom 10 Point
565852609,565852609,"Yes, Queen"
568877018,568877018,Scrimshander's Song
571267712,571267712,Prismatic Inferno
572589482,572589482,Blissful Ignorance
584392035,584392035,Equinox
586630330,586630330,Aim Is True
588594999,588594999,Moving Target
591790007,591790007,Iron Reach
593361144,593361144,Wraithmetal Mail
593361146,593361146,Synapse Junctions
593361147,593361147,Probability Matrix
595829387,595829387,Cross Counter
599007201,599007201,Enduring Guard
609567286,609567286,Restorative Warlock Armor
609666430,609666430,White Collar Crime
613746953,613746953,Out of Place
622433369,622433369,Warlord's End
630329983,630329983,Ride the Bull
634781242,634781242,Adept Reload
647617635,647617635,Memento Mori
651701175,651701175,Big Blind
656200654,656200654,Conserve Momentum
663495154,663495154,Model 8 Red
663495155,663495155,Model 6 Loop
666440382,666440382,Rampage Spec
669267835,669267835,Dieselpunk
670304476,670304476,Still Hungry
679077872,679077872,Rifle Scope SSF
679077873,679077873,Rifle Scope ST
679225683,679225683,Light Mag
689005463,689005463,Accelerated Coils
692285813,692285813,Light Shift
699525795,699525795,Eye of the Storm
699693452,699693452,Vengeance
706527188,706527188,Quickdraw
712324018,712324018,Transformative
715195141,715195141,Precision Frame
722862450,722862450,Dearly Departed
736000386,736000386,Freehand Grip
743139589,743139589,Blessing of the Sky
744770875,744770875,Adept Charge Time
745965939,745965939,Break the Bank
767484756,767484756,9RECT Telescopic
767484757,767484757,50VAL Telescopic
777637181,777637181,Play with Your Prey
791862061,791862061,Assault Mag
796633253,796633253,Prideglass
798520364,798520364,Evolution
806159697,806159697,Trench Barrel
806917387,806917387,Temporal Unlimiter
806997698,806997698,SUROS Rapid-Fire
809345546,809345546,Devil Scope D2
809345547,809345547,Dusk Scope D2
818211479,818211479,Shattering Blade
824488952,824488952,"Seriously, Watch Out"
830282363,830282363,Phase Magazine
836583820,836583820,Aggressive Frame
839105230,839105230,Arrowhead Brake
852209214,852209214,Polymer String
859354675,859354675,The Chopper
861489047,861489047,Vermin
862848869,862848869,Polymer Grip
878286503,878286503,Rapid-Fire Frame
883550427,883550427,And Another Thing
889398080,889398080,Silver Bullet
893526892,893526892,ATA Scout
893526893,893526893,ATC Rex
893526894,893526894,ATB Long Range
893526895,893526895,ATD Raptor
895140517,895140517,Precision Frame
897181301,897181301,Rapid Cooldown
898795824,898795824,The Colony XZ812
899855954,899855954,Drowned in Strife
902934539,902934539,Blessing of Order
907775118,907775118,VEIST Silver
908147344,908147344,Sneak Bow
911046884,911046884,Condor SS2
911046885,911046885,Yepaki SS2
911046886,911046886,Aquila SS4
911046887,911046887,Corvo SS2
911695907,911695907,Collector +2
914313861,914313861,War Beast Skin
918679156,918679156,Precision Frame
926349160,926349160,Tome of Dawn
926349161,926349161,Fusion Harness
926349163,926349163,
926976844,926976844,Resolute
938542991,938542991,Tempered Edge
938999636,938999636,Personal Assistant
939227542,939227542,Target Acquired
941997506,941997506,Icarus Grip
944506345,944506345,SUROS Legacy
951095735,951095735,Impulse Amplifier
957782887,957782887,Snapshot Sights
960810156,960810156,Danger Zone
961505134,961505134,Ignition Trigger
965619220,965619220,SLO-21 Post
965619221,965619221,SLO-12 Post
965619223,965619223,SLO-10 Post
972757866,972757866,Pulse Monitor
975429949,975429949,Gathering Light
981914802,981914802,Hard Launch
984527513,984527513,Major Spec
986191425,986191425,LN2 Burst
989739137,989739137,A Bad Run
990298390,990298390,Hand-Laid Stock
996573084,996573084,Rapid-Fire Frame
1000724343,1000724343,The Perfect Fifth
1008588205,1008588205,Heavy Hunter Armor
1012699414,1012699414,Heavy Grip
1014060907,1014060907,Break the Dawn
1015611457,1015611457,Kill Clip
1019291327,1019291327,High-Impact Frame
1021939294,1021939294,Tlāloc's Wrath
1021939295,1021939295,Hypervelocity
1030990989,1030990989,Banned Weapon
1036269296,1036269296,Cold Fusion
1045979943,1045979943,Subatomic Ivory
1047830412,1047830412,Full Choke
1059301209,1059301209,Pyrogenesis
1061828070,1061828070,Yesterday's Augur
1067908860,1067908860,Short-Action Stock
1069601252,1069601252,"Unseeing, to Be Shown"
1070100196,1070100196,Honed Edge
1084411177,1084411177,Draws Nigh
1087426260,1087426260,Appended Mag
1095471953,1095471953,Embers of Light
1096957638,1096957638,Rasmussen ISA
1097155916,1097155916,Survivalist Hunter Armor
1097521167,1097521167,Heavy Warlock Armor
1113207372,1113207372,Precision Frame
1119316141,1119316141,Laconic
1125119861,1125119861,87% Ennui
1132740485,1132740485,Panacea
1132740486,1132740486,Toxicology
1132740487,1132740487,Pyretic
1135501644,1135501644,Titanium Alloy
1140096971,1140096971,Seraph Rounds
1142806944,1142806944,Planetary Torrent
1145663134,1145663134,Great White
1147638875,1147638875,Cobra Totemic
1151649087,1151649087,Base Barrel
1153089512,1153089512,High Noon
1155472384,1155472384,Biotic Enhancements
1155472386,1155472386,Fury Conductors
1155472387,1155472387,Horns of Doom
1168162263,1168162263,Outlaw
1173052383,1173052383,Bound by Oath
1178686995,1178686995,Mechanized Autoloader
1180618054,1180618054,Enduring Guard
1185273366,1185273366,Armor of the Colossus
1185480639,1185480639,Penance
1186480754,1186480754,Saint's Fists
1196733167,1196733167,Tactile String
1204269313,1204269313,Heavy Titan Armor
1206295112,1206295112,Aim to Misbehave
1206702241,1206702241,Genesis Rounds
1210807262,1210807262,Repulsor Force
1211775759,1211775759,Ascending Amplitude
1225726778,1225726778,Adept Mag
1226148028,1226148028,Ozymandias
1233336930,1233336930,Invader +3
1236001742,1236001742,Precision Frame
1236444985,1236444985,Aeon Energy
1248391073,1248391073,Mobile Titan Armor
1249781195,1249781195,Zaroff's Prized Longbore
1259278657,1259278657,Raging Lepus
1261178282,1261178282,Enduring Blade
1263189958,1263189958,Reaper +1
1264398905,1264398905,Celerity
1275731761,1275731761,Cluster Bomb
1281243303,1281243303,Adaptive Ordnance
1282254042,1282254042,Together Forever
1288081796,1288081796,Wolf Sight W1
1288081797,1288081797,King Sight K1
1288081798,1288081798,Dusk Sight D1
1289604610,1289604610,Spread Shot Package
1294026524,1294026524,Adaptive Frame
1300023272,1300023272,Barrel Shroud
1313805249,1313805249,LC Ranged
1313805250,1313805250,LB Assault
1313805251,1313805251,LD Watchdog
1315870387,1315870387,Cryocannon
1319823571,1319823571,Cranial Spike
1321987864,1321987864,Dream of a New World
1322370662,1322370662,Precision Frame
1326668122,1326668122,Aggressive Frame
1331592343,1331592343,Starless Night
1332244541,1332244541,Rifled Barrel
1334978104,1334978104,Quick Access Sling
1354429876,1354429876,Fourth Time's the Charm
1359896290,1359896290,Dynamic Sway Reduction
1360105767,1360105767,Járngreipr
1367902648,1367902648,Flourish
1378047685,1378047685,Spinning Up
1380253176,1380253176,High-Explosive Ordnance
